iter	Passed	Remaining
0	0	83
1	1	76
2	2	71
3	2	65
4	3	63
5	3	62
6	4	61
7	5	60
8	5	59
9	6	58
10	7	57
11	7	56
12	8	55
13	8	54
14	9	53
15	10	53
16	10	52
17	11	51
18	12	51
19	12	50
20	13	49
21	13	49
22	14	48
23	15	47
24	15	47
25	16	46
26	17	46
27	17	45
28	18	44
29	18	44
30	19	43
31	20	42
32	20	42
33	21	41
34	22	41
35	22	40
36	23	39
37	24	39
38	24	38
39	25	38
40	26	37
41	26	36
42	27	35
43	27	35
44	28	34
45	28	34
46	29	33
47	30	32
48	30	32
49	31	31
50	32	30
51	32	30
52	33	29
53	34	29
54	34	28
55	35	27
56	35	27
57	36	26
58	37	25
59	37	25
60	38	24
61	39	24
62	40	23
63	40	23
64	41	22
65	42	21
66	43	21
67	44	20
68	44	20
69	45	19
70	46	18
71	46	18
72	47	17
73	47	16
74	48	16
75	49	15
76	49	14
77	50	14
78	51	13
79	51	12
80	52	12
81	53	11
82	54	11
83	54	10
84	55	9
85	56	9
86	56	8
87	57	7
88	58	7
89	58	6
90	59	5
91	60	5
92	60	4
93	61	3
94	62	3
95	62	2
96	63	1
97	63	1
98	64	0
99	65	0
